video,result,confidence
id33_id20_0005.mp4,FAKE,0.99997675
id24_id19_0004.mp4,FAKE,0.99997914
id0_id3_0009.mp4,FAKE,0.9999962
id51_id50_0008.mp4,FAKE,0.9999491
id54_id53_0003.mp4,FAKE,0.99738663
id22_id19_0006.mp4,FAKE,0.9999677
id52_id49_0008.mp4,FAKE,0.9999969
id35_id4_0006.mp4,FAKE,0.9999827
id52_id53_0003.mp4,FAKE,0.99997663
id50_id52_0004.mp4,FAKE,0.99998975
id33_id28_0008.mp4,FAKE,0.9999436
id6_id17_0009.mp4,FAKE,0.999992
id10_id7_0002.mp4,FAKE,0.9999951
id52_id55_0005.mp4,FAKE,0.9999908
id33_id31_0002.mp4,FAKE,0.9997936
id49_id55_0004.mp4,FAKE,0.99998677
id31_id16_0002.mp4,FAKE,0.99999535
id28_id26_0004.mp4,FAKE,0.99998677
id39_id44_0005.mp4,FAKE,0.999998
id2_id3_0007.mp4,FAKE,0.9999654
id44_id48_0000.mp4,FAKE,0.9999819
id28_id24_0001.mp4,FAKE,0.9999796
id6_id0_0007.mp4,FAKE,0.9999832
id28_id31_0008.mp4,FAKE,0.99999464
id30_id38_0006.mp4,FAKE,0.99999726
id37_id9_0005.mp4,FAKE,0.9999887
id28_id32_0001.mp4,FAKE,0.99997914
id3_id9_0009.mp4,FAKE,0.99997663
id30_id31_0008.mp4,FAKE,0.9997037
id37_id3_0003.mp4,REAL (Missed),0.9591693
id27_id20_0004.mp4,FAKE,0.9999356
id39_id44_0006.mp4,FAKE,0.99995315
id49_id50_0002.mp4,FAKE,0.9998566
id39_id42_0007.mp4,FAKE,0.9999876
id38_id35_0007.mp4,FAKE,0.99998593
id3_id1_0008.mp4,FAKE,0.99999523
id9_id3_0001.mp4,FAKE,0.9999968
id16_id37_0010.mp4,FAKE,0.99980825
id0_id2_0008.mp4,FAKE,0.99998844
id59_id61_0007.mp4,FAKE,0.9976203
id0_id23_0002.mp4,FAKE,0.9999968
id56_id52_0005.mp4,FAKE,0.999997
id20_id16_0007.mp4,FAKE,0.99998295
id31_id28_0005.mp4,FAKE,0.99999356
id30_id28_0001.mp4,FAKE,0.9999454
id23_id1_0003.mp4,FAKE,0.999899
id1_id28_0006.mp4,FAKE,0.99999106
id21_id26_0009.mp4,FAKE,0.99997735
id44_id39_0003.mp4,FAKE,0.99999523
id19_id23_0004.mp4,FAKE,0.9999987
id61_id60_0005.mp4,FAKE,0.99058247
id30_id6_0001.mp4,FAKE,0.9999888
id4_id2_0006.mp4,FAKE,0.99999285
id21_id23_0007.mp4,FAKE,0.9999838
id31_id16_0003.mp4,FAKE,0.9998424
id56_id49_0006.mp4,FAKE,0.99933296
id20_id3_0009.mp4,FAKE,0.9999957
id0_id26_0007.mp4,FAKE,0.99998534
id21_id37_0007.mp4,FAKE,0.99998903
id16_id35_0003.mp4,FAKE,0.99999774
id11_id7_0001.mp4,FAKE,0.9999831
id23_id38_0006.mp4,FAKE,0.99998057
id21_id19_0007.mp4,FAKE,0.99717367
id30_id32_0004.mp4,FAKE,0.99998736
id35_id28_0003.mp4,FAKE,0.9997938
id1_id21_0000.mp4,FAKE,0.99999654
id0_id20_0007.mp4,FAKE,0.9999689
id2_id31_0003.mp4,FAKE,0.9999939
id0_id4_0003.mp4,FAKE,0.9999932
id56_id57_0002.mp4,FAKE,0.9999951
id37_id20_0004.mp4,FAKE,0.99987614
id43_id41_0009.mp4,FAKE,0.9999926
id17_id35_0009.mp4,FAKE,0.99999547
id31_id33_0002.mp4,FAKE,0.9999939
id21_id26_0005.mp4,FAKE,0.9999964
id44_id39_0000.mp4,FAKE,0.99996114
id30_id20_0004.mp4,FAKE,0.9981669
id58_id55_0003.mp4,FAKE,0.9999887
id7_id10_0003.mp4,FAKE,0.99971503
id0_id9_0009.mp4,FAKE,0.9999857
id43_id48_0008.mp4,FAKE,0.99998534
id31_id20_0004.mp4,FAKE,0.99997246
id17_id30_0005.mp4,FAKE,0.9999962
id2_id23_0001.mp4,FAKE,0.9999968
id2_id1_0006.mp4,FAKE,0.9999831
id30_id26_0001.mp4,FAKE,0.9999449
id49_id58_0009.mp4,FAKE,0.9999927
id40_id45_0002.mp4,FAKE,0.9998492
id23_id2_0004.mp4,FAKE,0.99995565
id29_id33_0009.mp4,FAKE,0.9991104
id29_id31_0003.mp4,FAKE,0.9998548
id48_id43_0007.mp4,FAKE,0.99999416
id28_id24_0000.mp4,FAKE,0.9999914
id30_id9_0004.mp4,FAKE,0.99995804
id0_id4_0004.mp4,FAKE,0.99995565
id20_id0_0006.mp4,FAKE,0.99998367
id52_id55_0000.mp4,FAKE,0.9999877
id57_id50_0006.mp4,FAKE,0.99995637
id31_id37_0002.mp4,FAKE,0.99999475
id2_id37_0007.mp4,FAKE,0.9999957
id28_id29_0009.mp4,FAKE,0.9999269
id3_id37_0000.mp4,FAKE,0.99999166
id54_id57_0009.mp4,FAKE,0.9999887
id43_id40_0004.mp4,FAKE,0.99997234
id23_id2_0003.mp4,FAKE,0.99996376
id35_id9_0003.mp4,FAKE,0.99715936
id2_id17_0001.mp4,FAKE,0.99979335
id20_id29_0000.mp4,FAKE,0.99998736
id39_id43_0001.mp4,FAKE,0.99071294
id34_id29_0006.mp4,FAKE,0.99969006
id3_id26_0004.mp4,FAKE,0.9999974
id2_id16_0004.mp4,FAKE,0.9999616
id43_id45_0000.mp4,FAKE,0.99997616
id49_id55_0002.mp4,FAKE,0.9998424
id0_id17_0002.mp4,FAKE,0.9999949
id33_id21_0007.mp4,FAKE,0.99996805
id31_id21_0009.mp4,FAKE,0.9999757
id40_id46_0000.mp4,FAKE,0.99996924
id21_id31_0005.mp4,FAKE,0.999997
id35_id38_0009.mp4,FAKE,0.99999547
id20_id31_0006.mp4,FAKE,0.9994344
id26_id23_0009.mp4,FAKE,0.99999785
id33_id29_0008.mp4,FAKE,0.99121886
id1_id6_0004.mp4,FAKE,0.9999963
id32_id38_0006.mp4,FAKE,0.99806446
id42_id45_0001.mp4,FAKE,0.9999516
id2_id4_0009.mp4,FAKE,0.9999969
id39_id48_0001.mp4,FAKE,0.9999976
id48_id45_0004.mp4,FAKE,0.9997625
id21_id35_0000.mp4,FAKE,0.9999958
id57_id52_0000.mp4,FAKE,0.9999982
id31_id37_0004.mp4,FAKE,0.9999877
id26_id2_0003.mp4,FAKE,0.9999963
id3_id2_0004.mp4,FAKE,0.99999785
id26_id0_0009.mp4,FAKE,0.9999707
id20_id30_0001.mp4,FAKE,0.9998503
id40_id41_0004.mp4,FAKE,0.9999894
id23_id37_0001.mp4,FAKE,0.9999845
id31_id4_0005.mp4,FAKE,0.9999939
id1_id21_0001.mp4,FAKE,0.99998105
id17_id37_0001.mp4,FAKE,0.9999938
id33_id28_0005.mp4,FAKE,0.9999796
id23_id25_0007.mp4,FAKE,0.99972755
id23_id6_0000.mp4,FAKE,0.99998677
id3_id21_0004.mp4,FAKE,0.9999987
id23_id1_0005.mp4,FAKE,0.9997924
id4_id6_0006.mp4,FAKE,0.9999939
id38_id34_0004.mp4,FAKE,0.9999597
