video,result,confidence
00238.mp4,FAKE (False Positive),0.99994826
00152.mp4,REAL,0.9993651
00269.mp4,REAL,0.9998766
00209.mp4,REAL,0.99995774
00297.mp4,REAL,0.9999574
00096.mp4,REAL,0.9991329
00255.mp4,REAL,0.9999162
00230.mp4,REAL,0.9999132
00259.mp4,REAL,0.99989414
00012.mp4,REAL,0.998983
00219.mp4,REAL,0.9997553
00003.mp4,REAL,0.9998661
00147.mp4,FAKE (False Positive),0.9997812
00241.mp4,REAL,0.62034035
00260.mp4,REAL,0.9999399
00128.mp4,FAKE (False Positive),0.9981774
00243.mp4,REAL,0.9986734
00248.mp4,REAL,0.9513083
00207.mp4,FAKE (False Positive),0.99993944
00249.mp4,REAL,0.99994665
00088.mp4,REAL,0.9997258
00141.mp4,REAL,0.9998869
00078.mp4,REAL,0.9999586
00198.mp4,REAL,0.9999146
00215.mp4,REAL,0.99430484
00100.mp4,REAL,0.9999567
00279.mp4,FAKE (False Positive),0.9999709
00093.mp4,REAL,0.9997268
00267.mp4,REAL,0.99994826
00262.mp4,REAL,0.99995875
00229.mp4,REAL,0.998494
00150.mp4,REAL,0.9999665
00069.mp4,REAL,0.9999304
00036.mp4,REAL,0.9997449
00227.mp4,REAL,0.99975306
00038.mp4,REAL,0.6762785
00010.mp4,FAKE (False Positive),0.9994419
00034.mp4,FAKE (False Positive),0.99703443
00261.mp4,REAL,0.9999471
00237.mp4,FAKE (False Positive),0.78342676
00162.mp4,FAKE (False Positive),0.99987435
00139.mp4,REAL,0.9999226
00235.mp4,REAL,0.99995
00024.mp4,REAL,0.9999699
00288.mp4,REAL,0.99982077
00148.mp4,REAL,0.9999152
00116.mp4,REAL,0.99967676
00170.mp4,REAL,0.9964256
00129.mp4,FAKE (False Positive),0.9802901
00060.mp4,REAL,0.9998181
00282.mp4,FAKE (False Positive),0.99906176
00058.mp4,REAL,0.9972806
00204.mp4,REAL,0.99972147
00120.mp4,REAL,0.9996674
00063.mp4,REAL,0.9530572
00196.mp4,REAL,0.99994344
00106.mp4,REAL,0.9997293
00192.mp4,REAL,0.9999733
00140.mp4,REAL,0.9999232
00127.mp4,REAL,0.99990696
00194.mp4,REAL,0.9999797
00061.mp4,FAKE (False Positive),0.9877192
00072.mp4,FAKE (False Positive),0.9989341
00242.mp4,REAL,0.9999376
00223.mp4,FAKE (False Positive),0.999944
00110.mp4,REAL,0.74082315
00216.mp4,REAL,0.99988234
00186.mp4,REAL,0.9992615
00220.mp4,REAL,0.9999407
00008.mp4,FAKE (False Positive),0.7314092
00059.mp4,REAL,0.99994886
00296.mp4,FAKE (False Positive),0.8085137
00289.mp4,REAL,0.99997485
00202.mp4,REAL,0.9999403
00149.mp4,REAL,0.9999682
00121.mp4,REAL,0.99995184
00268.mp4,REAL,0.9998157
00133.mp4,REAL,0.7572416
00277.mp4,REAL,0.99990094
00122.mp4,REAL,0.9999573
00017.mp4,REAL,0.9999808
00191.mp4,REAL,0.9999573
00183.mp4,FAKE (False Positive),0.9994993
00025.mp4,FAKE (False Positive),0.9999063
00283.mp4,FAKE (False Positive),0.9996786
00156.mp4,REAL,0.99997044
00185.mp4,REAL,0.9930337
00011.mp4,REAL,0.99997324
00257.mp4,REAL,0.9979915
00097.mp4,REAL,0.9999708
00123.mp4,REAL,0.9999331
00180.mp4,REAL,0.99995995
00173.mp4,FAKE (False Positive),0.9999937
00225.mp4,REAL,0.99980146
00298.mp4,FAKE (False Positive),0.9990395
